country	N	I	O	Y60	Y85	Y_growth	pop_growth	invest	school
Algeria	1	1	0	2485	4371	4.8	2.6	24.1	4.5
Angola	1	0	0	1588	1171	0.8	2.1	5.8	1.8
Benin	1	0	0	1116	1071	2.2	2.4	10.8	1.8
Botswana	1	1	0	959	3671	8.6	3.2	28.3	2.9
BurkinaFaso	1	0	0	529	857	2.9	0.9	12.7	0.4
Burundi	1	0	0	755	663	1.2	1.7	5.1	0.4
Cameroon	1	1	0	889	2190	5.7	2.1	12.8	3.4
CentralAfr.Rep.	1	0	0	838	789	1.5	1.7	10.5	1.4
Chad	1	0	0	908	462	-0.9	1.9	6.9	0.4
"Congo,Peop.Rep."	1	0	0	1009	2624	6.2	2.4	28.8	3.8
Egypt	1	0	0	907	2160	6.0	2.5	16.3	7.0
Ethiopia	1	1	0	533	608	2.8	2.3	5.4	1.1
Gabon	0	0	0	1307	5350	7.0	1.4	22.1	2.6
"Gambia,The"	0	0	0	799	NA	3.6	NA	18.1	1.5
Ghana	1	0	0	1009	727	1.0	2.3	9.1	4.7
Guinea	0	0	0	746	869	2.2	1.6	10.9	NA
IvoryCost	1	1	0	1386	1704	5.1	4.3	12.4	2.3
Kenya	1	1	0	944	1329	4.8	3.4	17.4	2.4
Lesotho	0	0	0	431	1483	6.8	1.9	12.6	2.0
Liberia	1	0	0	863	944	3.3	3.0	21.5	2.5
Madagascar	1	1	0	1194	975	1.4	2.2	7.1	2.6
Malawi	1	1	0	455	823	4.8	2.4	13.2	0.6
Mali	1	1	0	737	710	2.1	2.2	7.3	1.0
Mauritania	1	0	0	777	1038	3.3	2.2	25.6	1.0
Mauritius	1	0	0	1973	2967	4.2	2.6	17.1	7.3
Morocco	1	1	0	1030	2348	5.8	2.5	8.3	3.6
Mozambique	1	0	0	1420	1035	1.4	2.7	6.1	0.7
Niger	1	0	0	539	841	4.4	2.6	10.3	0.5
Nigeria	1	1	0	1055	1186	2.8	2.4	12.0	2.3
Rwanda	1	0	0	460	696	4.5	2.8	7.9	0.4
Senegal	1	1	0	1392	1450	2.5	2.3	9.6	1.7
SierraLeone	1	0	0	511	805	3.4	1.6	10.9	1.7
Somalia	1	0	0	901	657	1.8	3.1	13.8	1.1
S.Africa	1	1	0	4768	7064	3.9	2.3	21.6	3.0
Sudan	1	0	0	1254	1038	1.8	2.6	13.2	2.0
Swaziland	0	0	0	817	NA	7.2	NA	17.7	3.7
Tanzania	1	1	0	383	710	5.3	2.9	18.0	0.5
Togo	1	0	0	777	978	3.4	2.5	15.5	2.9
Tunisia	1	1	0	1623	3661	5.6	2.4	13.8	4.3
Uganda	1	0	0	601	667	3.5	3.1	4.1	1.1
Zaire	1	0	0	594	412	0.9	2.4	6.5	3.6
Zambia	1	1	0	1410	1217	2.1	2.7	31.7	2.4
Zimbabwe	1	1	0	1187	2107	5.1	2.8	21.1	4.4
Afghanistan	0	0	0	1224	NA	1.6	NA	6.9	0.9
Bahrain	0	0	0	NA	NA	NA	NA	30.0	12.1
Bangladesh	1	1	0	846	1221	4.0	2.6	6.8	3.2
Burma	1	1	0	517	1031	4.5	1.7	11.4	3.5
HongKong	1	1	0	3085	13372	8.9	3.0	19.9	7.2
India	1	1	0	978	1339	3.6	2.4	16.8	5.1
Iran	0	0	0	3606	7400	6.3	3.4	18.4	6.5
Iraq	0	0	0	4916	5626	3.8	3.2	16.2	7.4
Israel	1	1	0	4802	10450	5.9	2.8	28.5	9.5
Japan	1	1	1	3493	13893	6.8	1.2	36.0	10.9
Jordan	1	1	0	2183	4312	5.4	2.7	17.6	10.8
"Korea,Rep.of"	1	1	0	1285	4775	7.9	2.7	22.3	10.2
Kuwait	0	0	0	77881	25635	2.4	6.8	9.5	9.6
Malaysia	1	1	0	2154	5788	7.1	3.2	23.2	7.3
Nepal	1	0	0	833	974	2.6	2.0	5.9	2.3
Oman	0	0	0	NA	15584	NA	3.3	15.6	2.7
Pakistan	1	1	0	1077	2175	5.8	3.0	12.2	3.0
Philippines	1	1	0	1668	2430	4.5	3.0	14.9	10.6
SaudiArabia	0	0	0	6731	11057	6.1	4.1	12.8	3.1
Singapore	1	1	0	2793	14678	9.2	2.6	32.2	9.0
SriLanka	1	1	0	1794	2482	3.7	2.4	14.8	8.3
SyrianArabRep.	1	1	0	2382	6042	6.7	3.0	15.9	8.8
Taiwan	0	0	0	NA	NA	8.0	NA	20.7	NA
Thailand	1	1	0	1308	3220	6.7	3.1	18.0	4.4
U.ArabEmirates	0	0	0	NA	18513	NA	NA	26.5	NA
Yemen	0	0	0	NA	1918	NA	2.5	17.2	0.6
Austria	1	1	1	5939	13327	3.6	0.4	23.4	8.0
Belgium	1	1	1	6789	14290	3.5	0.5	23.4	9.3
Cyprus	0	0	0	2948	NA	5.2	NA	31.2	8.2
Denmark	1	1	1	8551	16491	3.2	0.6	26.6	10.7
Finland	1	1	1	6527	13779	3.7	0.7	36.9	11.5
France	1	1	1	7215	15027	3.9	1.0	26.2	8.9
"Germany,Fed.Rep."	1	1	1	7695	15297	3.3	0.5	28.5	8.4
Greece	1	1	1	2257	6868	5.1	0.7	29.3	7.9
Iceland	0	0	0	8091	NA	3.9	NA	29.0	10.2
Ireland	1	1	1	4411	8675	3.8	1.1	25.9	11.4
Italy	1	1	1	4913	11082	3.8	0.6	24.9	7.1
Luxembourg	0	0	0	9015	NA	2.8	NA	26.9	5.0
Malta	0	0	0	2293	NA	6.0	NA	30.9	7.1
Netherlands	1	1	1	7689	13177	3.6	1.4	25.8	10.7
Norway	1	1	1	7938	19723	4.3	0.7	29.1	10.0
Portugal	1	1	1	2272	5827	4.4	0.6	22.5	5.8
Spain	1	1	1	3766	9903	4.9	1.0	17.7	8.0
Sweden	1	1	1	7802	15237	3.1	0.4	24.5	7.9
Switzerland	1	1	1	10308	15881	2.5	0.8	29.7	4.8
Turkey	1	1	1	2274	4444	5.2	2.5	20.2	5.5
UnitedKingdom	1	1	1	7634	13331	2.5	0.3	18.4	8.9
Barbados	0	0	0	3165	NA	4.8	NA	19.5	12.1
Canada	1	1	1	10286	17935	4.2	2.0	23.3	10.6
CostaRica	1	1	0	3360	4492	4.7	3.5	14.7	7.0
DominicanRep.	1	1	0	1939	3308	5.1	2.9	17.1	5.8
ElSalvador	1	1	0	2042	1997	3.3	3.3	8.0	3.9
Guatemala	1	1	0	2481	3034	3.9	3.1	8.8	2.4
Haiti	1	1	0	1096	1237	1.8	1.3	7.1	1.9
Honduras	1	1	0	1430	1822	4.0	3.1	13.8	3.7
Jamaica	1	1	0	2726	3080	2.1	1.6	20.6	11.2
Mexico	1	1	0	4229	7380	5.5	3.3	19.5	6.6
Nicaragua	1	1	0	3195	3978	4.1	3.3	14.5	5.8
Panama	1	1	0	2423	5021	5.9	3.0	26.1	11.6
Trinidad&Tobago	1	1	0	9253	11285	2.7	1.9	20.4	8.8
UnitedStates	1	1	1	12362	18988	3.2	1.5	21.1	11.9
Argentina	1	1	0	4852	5533	2.1	1.5	25.3	5.0
Bolivia	1	1	0	1618	2055	3.3	2.4	13.3	4.9
